,Denver,Tampa,Atlanta,Seattle,New York,Los Angeles,Chicago,Dallas
Denver,0.0006213727366498068,1845.4770278499261,1392.496302832217,1317.3102016975904,1794.524463444642,1037.0710974685276,1004.1383424260878,779.8227844955076
Tampa,1845.4770278499261,0.0006213727366498068,456.0875887009582,3090.0866193594893,1131.5197534392983,2542.0358656343597,1170.0448631115862,1097.9656256602086
Atlanta,1392.496302832217,456.0875887009582,0.0006213727366498068,2637.7272670784296,871.7859495196789,2192.824387637168,717.064138093877,777.3372935489083
Seattle,1317.3102016975904,3090.0866193594893,2637.7272670784296,0.0006213727366498068,2848.372624802714,1130.8983807026484,2047.4231672611133,2095.8902407197984
New York,1794.524463444642,1131.5197534392983,871.7859495196789,2848.372624802714,0.0006213727366498068,2804.8765332372277,794.7357301751028,1549.703605204618
Los Angeles,1037.0710974685276,2542.0358656343597,2192.824387637168,1130.8983807026484,2804.8765332372277,0.0006213727366498068,2026.9178669516698,1456.497694707147
Chicago,1004.1383424260878,1170.0448631115862,717.064138093877,2047.4231672611133,794.7357301751028,2026.9178669516698,0.0006213727366498068,922.1171411883132
Dallas,779.8227844955076,1097.9656256602086,777.3372935489083,2095.8902407197984,1549.703605204618,1456.497694707147,922.1171411883132,0.0006213727366498068
